Time	[dihydrofolate free]	[dihydrofolate bound]	[dihydrofolate reductase free]	[dihydrofolate reductase total]	[tetrahydrofolate]	[5-methyl-tetrahydrofolate]	[10-formyl-tetrahydrofolate]	[10-formyl-dihydrofolate]	[HCHO]	[FGAR]	[AICAR]	[MTX1]	[MTX2]	[MTX3]	[MTX4]	[MTX5]	[MTX1b]	[MTX2b]	[MTX3b]	[MTX4b]	[MTX5b]	[EMTX]	[dUMP]	[GAR]	[serine]	[formate]	[ATP]	[glutamine]	[glycine]	[NADP]	[NADPH]	[homocysteine]
59	0.00121409	0.00242057	0.637993	0.640413	0.459892	1.63054	1.00142	0.00033007	0.00737849	16.5113	3.69497	5.94483e-27	-3.04573e-27	-9.58607e-28	-4.72702e-28	-1.05868e-32	1.94155e-22	-1.91295e-22	-1.01259e-22	-1.09239e-22	-4.51866e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
60	0.00121414	0.00242062	0.637981	0.640401	0.459903	1.63057	1.00145	0.000330083	0.00737846	16.5117	3.69496	5.93168e-27	-3.04503e-27	-7.97184e-28	-4.72717e-28	-1.07834e-32	1.94288e-22	-1.9125e-22	-1.00202e-22	-1.09241e-22	-4.60609e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
61	0.00121418	0.00242066	0.637969	0.640389	0.459914	1.6306	1.00147	0.000330095	0.00737844	16.512	3.69496	5.96978e-27	-3.0414e-27	-3.95784e-28	-4.72756e-28	-1.098e-32	1.95146e-22	-1.91016e-22	-9.33339e-23	-1.09248e-22	-4.69349e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
62	0.00121423	0.00242071	0.637957	0.640378	0.459925	1.63064	1.00149	0.000330107	0.00737841	16.5124	3.69496	6.01115e-27	-3.03737e-27	2.28477e-29	-4.72798e-28	-1.11765e-32	1.96101e-22	-1.90757e-22	-8.54636e-23	-1.09255e-22	-4.78089e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
63	0.00121427	0.00242075	0.637946	0.640367	0.459936	1.63067	1.00152	0.000330119	0.00737838	16.5128	3.69496	6.05295e-27	-3.03313e-27	4.13702e-28	-4.72839e-28	-1.13731e-32	1.97105e-22	-1.90484e-22	-7.70268e-23	-1.09263e-22	-4.8683e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
64	0.00121432	0.0024208	0.637935	0.640356	0.459947	1.6307	1.00154	0.000330131	0.00737836	16.5131	3.69496	6.09176e-27	-3.02889e-27	7.23038e-28	-4.72879e-28	-1.15697e-32	1.98103e-22	-1.90213e-22	-6.85317e-23	-1.09271e-22	-4.95571e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
65	0.00121436	0.00242084	0.637925	0.640346	0.459958	1.63074	1.00156	0.000330143	0.00737833	16.5135	3.69496	6.12359e-27	-3.02494e-27	8.88383e-28	-4.72916e-28	-1.17663e-32	1.99031e-22	-1.89961e-22	-6.05589e-23	-1.09277e-22	-5.04313e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
66	0.0012144	0.00242089	0.637914	0.640335	0.459969	1.63077	1.00158	0.000330155	0.0073783	16.5138	3.69495	6.14391e-27	-3.02155e-27	8.38531e-28	-4.72948e-28	-1.1963e-32	1.99813e-22	-1.89746e-22	-5.37618e-23	-1.09283e-22	-5.13057e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
67	0.00121444	0.00242093	0.637904	0.640325	0.459981	1.63081	1.00161	0.000330166	0.00737828	16.5142	3.69495	6.14758e-27	-3.01909e-27	4.93545e-28	-4.72973e-28	-1.21597e-32	2.00365e-22	-1.89591e-22	-4.88665e-23	-1.09287e-22	-5.21803e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
68	0.00121448	0.00242098	0.637895	0.640316	0.459992	1.63084	1.00163	0.000330177	0.00737825	16.5146	3.69495	6.12894e-27	-3.01792e-27	-2.35248e-28	-4.72988e-28	-1.23564e-32	2.00596e-22	-1.8952e-22	-4.66718e-23	-1.09289e-22	-5.30551e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
