Time	[IIa]	[VIII]	[VIIIa]	[APC_PS]	[IX]	[IXa]	[XIa]	[XI]	[XIIa]	[VII]	[VIIa]	[X]	[Xa]	[IXa_VIIIa]	[V]	[Va]	[II]	[F]	[Fg]	[DP]	[P]	[XF]	[XIII]	[Pg]	[APC]	[IIa_Tmod]	[PC]	[Tmod]	[TF]	[VIIa_TF]	[VII_TF]	[Xa_TFPI]	[TFPI]	[PS]	[VKH2]	[Va_Xa]	[CA]	[XII]	[K]	[ATIII_Heparin]	[Xa_ATIII_Heparin]	[VK]	[C_warf]	[VKO]	[Pk]	[FDP]	[D]	[TAT]	[VIIa_TF_Xa_TFPI]	[XIIIa]	[IIa_ATIII_Heparin]	[IXa_ATIII_Heparin]	[A_warf]	[VK_p]
54	0	0.7	0	0	52.0414	0	0	30.6	0	4.11553	0	118.649	0	0	26.7	0	1103.3	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	28.9815	50	0	0	0	0	2.5	209.557	0.0359494	0	0	375	0	0	0	1.00119	0.736512	0.106699	450	81.7874	0	0	0	0	0	0	0.0269518	115.488
55	0	0.7	0	0	51.4631	0	0	30.6	0	4.05154	0	117.636	0	0	26.7	0	1097.25	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	28.6069	50	0	0	0	0	2.5	207.871	0.0351073	0	0	375	0	0	0	1.00135	0.723612	0.10705	450	81.7874	0	0	0	0	0	0	0.009915	115.488
56	0	0.7	0	0	50.8832	0	0	30.6	0	3.98678	0	116.619	0	0	26.7	0	1091.16	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	28.2299	50	0	0	0	0	2.5	206.177	0.0345201	0	0	375	0	0	0	1.00149	0.709903	0.107126	450	81.7874	0	0	0	0	0	0	0.00364752	115.488
57	0	0.7	0	0	50.3076	0	0	30.6	0	3.92395	0	115.606	0	0	26.7	0	1085.06	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	27.8572	50	0	0	0	0	2.5	204.488	0.0341405	0	0	375	0	0	0	1.0016	0.696074	0.106992	450	81.7874	0	0	0	0	0	0	0.00134185	115.488
58	0	0.7	0	0	49.7409	0	0	30.6	0	3.86492	0	114.601	0	0	26.7	0	1078.99	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	27.4941	50	0	0	0	0	2.5	202.812	0.033928	0	0	375	0	0	0	1.00168	0.682374	0.1067	450	81.7874	0	0	0	0	0	0	0.000493638	115.488
59	0	0.7	0	0	49.1868	0	0	30.6	0	3.81097	0	113.61	0	0	26.7	0	1072.95	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	27.1445	50	0	0	0	0	2.5	201.156	0.0338496	0	0	375	0	0	0	1.00172	0.668893	0.106295	450	81.7874	0	0	0	0	0	0	0.000181599	115.488
60	0	0.7	0	0	48.648	0	0	30.6	0	3.76287	0	112.636	0	0	26.7	0	1066.97	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	26.8114	50	0	0	0	0	2.5	199.526	0.0338784	0	0	375	0	0	0	1.00173	0.65566	0.105811	450	81.7874	0	0	0	0	0	0	6.68065e-05	115.488
61	0	0.7	0	0	48.1264	0	0	30.6	0	3.72105	0	111.682	0	0	26.7	0	1061.06	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	26.4967	50	0	0	0	0	2.5	197.927	0.0339931	0	0	375	0	0	0	1.0017	0.642681	0.105275	450	81.7874	0	0	0	0	0	0	2.45767e-05	115.488
62	0	0.7	0	0	47.6236	0	0	30.6	0	3.68567	0	110.749	0	0	26.7	0	1055.23	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	26.2017	50	0	0	0	0	2.5	196.361	0.0341766	0	0	375	0	0	0	1.00165	0.629956	0.104708	450	81.7874	0	0	0	0	0	0	9.04127e-06	115.488
63	0	0.7	0	0	47.1406	0	0	30.6	0	3.6567	0	109.84	0	0	26.7	0	1049.49	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	25.9273	50	0	0	0	0	2.5	194.831	0.0344152	0	0	375	0	0	0	1.00157	0.617483	0.104127	450	81.7874	0	0	0	0	0	0	3.3261e-06	115.489
64	0	0.7	0	0	46.6781	0	0	30.6	0	3.63396	0	108.955	0	0	26.7	0	1043.84	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	25.674	50	0	0	0	0	2.5	193.339	0.034698	0	0	375	0	0	0	1.00148	0.605256	0.103545	450	81.7874	0	0	0	0	0	0	1.2236e-06	115.489
65	0	0.7	0	0	46.2366	0	0	30.6	0	3.6172	0	108.095	0	0	26.7	0	1038.29	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	25.4418	50	0	0	0	0	2.5	191.886	0.0350164	0	0	375	0	0	0	1.00136	0.593272	0.102969	450	81.7874	0	0	0	0	0	0	4.50139e-07	115.489
