Time	[GP]	[pGP]	[mRNA]	[PEPCK]	[IRS]	[p1IRS]	[p2IRS]	[p1p2IRS]	[Akt]	[pAkt]	[mTOR]	[pmTOR]	[Foxo]	[pFoxo]	[PYRout]	[GLCex]	[F16P]	[PYRin]	[LAC]	[OAA]	[GLY]	[G1P]	[G6P]
75	0.643689	0.00121128	2.11068	0.687708	17.5319	14952.2	16418.5	131139	0.386018	0.732182	879.044	1.20598	5.08942e-07	1.01811e-05	34375.8	30245.3	125079	36748.3	3.79167e+07	4309.17	183099	192769	30811.5
76	0.64369	0.00121047	2.10121	0.686661	17.5079	14833.3	16514.7	131486	0.388074	0.730126	879.035	1.21454	5.10209e-07	1.01798e-05	34375.8	30266.1	121957	36739.8	3.79167e+07	4367.32	183104	192666	30832.2
77	0.64369	0.00120966	2.0918	0.685615	17.4844	14718.1	16609.1	131817	0.390087	0.728113	879.027	1.22297	5.11484e-07	1.01785e-05	34375.8	30286.8	118837	36731.4	3.79167e+07	4425.52	183108	192562	30852.8
78	0.643691	0.00120885	2.08243	0.68457	17.4614	14606.4	16701.9	132133	0.39206	0.72614	879.019	1.23126	5.12764e-07	1.01772e-05	34375.8	30307.6	115720	36723	3.79167e+07	4483.77	183113	192459	30873.4
79	0.643692	0.00120805	2.0731	0.683526	17.4389	14498.1	16792.9	132435	0.393993	0.724207	879.011	1.23941	5.14047e-07	1.0176e-05	34375.8	30328.3	112605	36714.6	3.79167e+07	4542.07	183117	192356	30894
80	0.643693	0.00120725	2.06381	0.682483	17.4169	14392.9	16882.4	132723	0.395887	0.722313	879.003	1.24743	5.1533e-07	1.01747e-05	34375.8	30349	109494	36706.2	3.79167e+07	4600.42	183121	192253	30914.5
81	0.643694	0.00120645	2.05457	0.681441	17.3953	14290.7	16970.2	132997	0.397743	0.720457	878.995	1.25533	5.16612e-07	1.01734e-05	34375.8	30369.7	106386	36697.8	3.79167e+07	4658.82	183126	192150	30934.9
82	0.643694	0.00120566	2.04537	0.680399	17.3742	14191.5	17056.5	133259	0.399563	0.718637	878.987	1.2631	5.17892e-07	1.01721e-05	34375.9	30390.4	103282	36689.4	3.79167e+07	4717.28	183130	192048	30955.3
83	0.643695	0.00120487	2.03621	0.679359	17.3536	14095	17141.3	133509	0.401347	0.716853	878.979	1.27075	5.19168e-07	1.01708e-05	34375.9	30411	100181	36681	3.79167e+07	4775.78	183135	191945	30975.6
84	0.643696	0.00120409	2.0271	0.678319	17.3334	14001.3	17224.6	133747	0.403096	0.715104	878.972	1.27827	5.20438e-07	1.01696e-05	34375.9	30431.6	97084	36672.6	3.79167e+07	4834.34	183139	191843	30995.8
85	0.643697	0.0012033	2.01803	0.677281	17.3136	13910.1	17306.4	133974	0.404812	0.713388	878.964	1.28568	5.21702e-07	1.01683e-05	34375.9	30452.2	93991.2	36664.3	3.79167e+07	4892.95	183144	191740	31016
86	0.643697	0.00120253	2.009	0.676243	17.2942	13821.4	17386.7	134190	0.406495	0.711705	878.957	1.29296	5.22958e-07	1.0167e-05	34375.9	30472.8	90902.9	36655.9	3.79167e+07	4951.61	183148	191638	31036.1
87	0.643698	0.00120175	2.00001	0.675207	17.2752	13735.2	17465.7	134395	0.408145	0.710055	878.95	1.30013	5.24207e-07	1.01658e-05	34375.9	30493.3	87819.4	36647.5	3.79167e+07	5010.32	183152	191536	31056.1
88	0.643699	0.00120099	1.99107	0.674171	17.2566	13651.2	17543.3	134591	0.409765	0.708435	878.943	1.30719	5.25446e-07	1.01646e-05	34375.9	30513.8	84740.9	36639.2	3.79167e+07	5069.08	183157	191434	31076
89	0.6437	0.00120022	1.98217	0.673136	17.2383	13569.4	17619.5	134777	0.411354	0.706846	878.936	1.31414	5.26676e-07	1.01633e-05	34375.9	30534.2	81667.9	36630.8	3.79167e+07	5127.89	183161	191332	31095.8
90	0.643701	0.00119947	1.97331	0.672102	17.2204	13489.7	17694.4	134955	0.412913	0.705287	878.929	1.32098	5.27896e-07	1.01621e-05	34375.9	30554.6	78600.8	36622.4	3.79167e+07	5186.76	183166	191230	31115.4
91	0.643701	0.00119872	1.96449	0.671069	17.2029	13412.1	17768	135123	0.414444	0.703756	878.922	1.32771	5.29105e-07	1.01609e-05	34375.9	30575	75540	36614.1	3.79167e+07	5245.67	183170	191128	31135
92	0.643702	0.00119797	1.95571	0.670038	17.1857	13336.5	17840.3	135283	0.415946	0.702254	878.916	1.33433	5.30303e-07	1.01597e-05	34375.9	30595.3	72486	36605.8	3.79167e+07	5304.64	183175	191027	31154.4
93	0.643703	0.00119723	1.94697	0.669007	17.1688	13262.8	17911.3	135435	0.417421	0.700779	878.909	1.34085	5.3149e-07	1.01585e-05	34376	30615.6	69439.5	36597.4	3.79167e+07	5363.65	183179	190925	31173.6
94	0.643703	0.0011965	1.93827	0.667977	17.1523	13190.9	17981.2	135579	0.418869	0.699331	878.903	1.34726	5.32665e-07	1.01573e-05	34376	30635.8	66401	36589.1	3.79167e+07	5422.72	183183	190824	31192.6
95	0.643704	0.00119578	1.92962	0.666948	17.1361	13120.8	18049.8	135715	0.42029	0.69791	878.896	1.35358	5.33828e-07	1.01562e-05	34376	30656	63371.4	36580.7	3.79167e+07	5481.84	183188	190723	31211.5
96	0.643705	0.00119507	1.921	0.665919	17.1202	13052.4	18117.2	135845	0.421686	0.696514	878.89	1.3598	5.34979e-07	1.0155e-05	34376	30676.1	60351.4	36572.4	3.79167e+07	5541.01	183192	190621	31230.1
97	0.643706	0.00119437	1.91243	0.664892	17.1046	12985.7	18183.5	135967	0.423056	0.695144	878.884	1.36592	5.36118e-07	1.01539e-05	34376	30696.1	57342.1	36564.1	3.79167e+07	5600.23	183197	190520	31248.5
98	0.643706	0.00119368	1.90389	0.663866	17.0893	12920.6	18248.7	136083	0.424402	0.693798	878.878	1.37194	5.37244e-07	1.01528e-05	34376	30716.1	54344.4	36555.8	3.79167e+07	5659.5	183201	190419	31266.5
99	0.643707	0.001193	1.89539	0.662841	17.0742	12857.1	18312.7	136193	0.425724	0.692476	878.872	1.37787	5.38358e-07	1.01516e-05	34376	30736	51359.8	36547.5	3.79167e+07	5718.82	183205	190319	31284.3
100	0.643708	0.00119234	1.88694	0.661817	17.0595	12795.1	18375.7	136296	0.427022	0.691178	878.866	1.3837	5.39459e-07	1.01505e-05	34376	30755.7	48389.7	36539.2	3.79167e+07	5778.19	183210	190218	31301.6
