Time	[w]	[IFNb_mRNA]	[IFNb_env]	[STATP2n]	[SOCS1m]	[IRF7m]	[IRF7Pn]	[IFNa_mRNA]	[IFNa_env]	[TNFam]	[TNFenv]	[STATm]	[STAT]
85	0	0.000118084	3.91472e-11	9.43889e-16	7.24063e-10	5.58748e-20	3.73929e-15	1.17276e-11	1.68925e-11	0.000100162	0.000257736	1.57445e-08	0.00213
86	0	0.000118084	3.92452e-11	9.18094e-16	7.23698e-10	5.43588e-20	3.75914e-15	1.17962e-11	1.7244e-11	0.000100967	0.000260888	1.57445e-08	0.00203935
87	0	0.000118084	3.93432e-11	8.92665e-16	7.23963e-10	5.28832e-20	3.77845e-15	1.18629e-11	1.75975e-11	0.000101772	0.000264064	1.57445e-08	0.0019528
88	0	0.000118084	3.94413e-11	8.67773e-16	7.24095e-10	5.14373e-20	3.79722e-15	1.19279e-11	1.7953e-11	0.000102578	0.000267265	1.57445e-08	0.00187015
89	0	0.000118084	3.95393e-11	8.43443e-16	7.24246e-10	5.00201e-20	3.81549e-15	1.19911e-11	1.83104e-11	0.000103384	0.00027049	1.57445e-08	0.00179124
90	0	0.000118084	3.96373e-11	8.19689e-16	7.24248e-10	4.86312e-20	3.83325e-15	1.20527e-11	1.86697e-11	0.00010419	0.00027374	1.57445e-08	0.00171589
91	0	0.000118084	3.97353e-11	7.96487e-16	7.24245e-10	4.72727e-20	3.85051e-15	1.21125e-11	1.90308e-11	0.000104997	0.000277015	1.57445e-08	0.00164394
92	0	0.000118084	3.98334e-11	7.73835e-16	7.24248e-10	4.59452e-20	3.86729e-15	1.21707e-11	1.93937e-11	0.000105804	0.000280314	1.57445e-08	0.00157524
93	0	0.000118084	3.99314e-11	7.51736e-16	7.2424e-10	4.46487e-20	3.8836e-15	1.22273e-11	1.97583e-11	0.000106611	0.000283638	1.57445e-08	0.00150965
94	0	0.000118084	4.00294e-11	7.30192e-16	7.24237e-10	4.33831e-20	3.89944e-15	1.22824e-11	2.01245e-11	0.000107418	0.000286986	1.57445e-08	0.00144701
95	0	0.000118084	4.01274e-11	7.09192e-16	7.24249e-10	4.21489e-20	3.91484e-15	1.23359e-11	2.04924e-11	0.000108225	0.000290359	1.57445e-08	0.00138721
96	0	0.000118084	4.02255e-11	6.88735e-16	7.24254e-10	4.0946e-20	3.9298e-15	1.23879e-11	2.08618e-11	0.000109032	0.000293757	1.57445e-08	0.0013301
97	0	0.000118084	4.03235e-11	6.68832e-16	7.24208e-10	3.97734e-20	3.94433e-15	1.24384e-11	2.12328e-11	0.000109838	0.000297179	1.57445e-08	0.00127558
98	0	0.000118084	4.04215e-11	6.49498e-16	7.24046e-10	3.86296e-20	3.95844e-15	1.24875e-11	2.16052e-11	0.000110645	0.000300626	1.57445e-08	0.00122351
99	0	0.000118084	4.05196e-11	6.30739e-16	7.23666e-10	3.75133e-20	3.97215e-15	1.25352e-11	2.19792e-11	0.000111451	0.000304097	1.57445e-08	0.0011738
100	0	0.000118084	4.06176e-11	6.12365e-16	7.2407e-10	3.64375e-20	3.98546e-15	1.25815e-11	2.23545e-11	0.000112257	0.000307593	1.57445e-08	0.00112633
