Time	[L]	[R]	[LR]	[Gabg]	[RGabg]	[LRGabg]	[RRGSm]	[LRRGSm]	[RRGSmGabg]	[LRRGSmGabg]	[GaGTP]	[Gbg]	[Effector]	[GaGTPEffector]	[RGSc]	[RGSm]	[RGSmGaGTP]	[GaGTPEffectorOFF]	[RGSmGaGTPEffectorOFF]	[GaGDPP]	[LRRGSmGaGTP]	[RRGSmGaGTP]	[LRRGSmGaGTPEffectorOFF]	[GaGDP]	[P]	[z1]	[z2]	[z3]
54	1.89585e-16	4.42332	0.099842	3.81909	188.149	0.000152561	0.000237954	5.37927e-06	12.3275	3.08116e-08	2.95699e-05	0.704317	304.572	0.0921813	0.0537876	47.0083	0.274487	3.92195e-05	0.335676	0.000786934	6.45876e-09	7.97846e-09	4.19132e-08	0.0011173	0.0788403	0.0936403	0.0951473	0.0967048
55	7.11951e-17	4.3404	0.0998448	3.75131	188.448	0.000149857	0.000230197	5.30333e-06	12.1112	2.98375e-08	2.89199e-05	0.689175	304.582	0.0901097	0.0530284	47.2384	0.269737	3.81514e-05	0.327368	0.000772566	6.22543e-09	7.52605e-09	3.99654e-08	0.001121	0.0773982	0.0915022	0.0929396	0.094424
56	2.7244e-17	4.26045	0.0998475	3.68584	188.736	0.000147245	0.000222843	5.23025e-06	11.9037	2.89129e-08	2.82983e-05	0.674687	304.592	0.08813	0.0522978	47.4592	0.265142	3.71396e-05	0.319466	0.00075871	6.00564e-09	7.10853e-09	3.8162e-08	0.00112453	0.0760076	0.0894605	0.0908329	0.0922491
57	1.05352e-17	4.18332	0.09985	3.62258	189.012	0.000144721	0.000215865	5.15988e-06	11.7045	2.80344e-08	2.77031e-05	0.660812	304.602	0.0862365	0.0515944	47.6711	0.260697	3.61801e-05	0.311941	0.000745339	5.79834e-09	6.72257e-09	3.64888e-08	0.00112791	0.0746657	0.0875089	0.0888204	0.090173
58	3.60387e-18	4.10887	0.0998526	3.56142	189.278	0.00014228	0.000209236	5.09207e-06	11.5131	2.71989e-08	2.71329e-05	0.647512	304.611	0.0844237	0.0509164	47.8746	0.256394	3.5269e-05	0.304768	0.000732429	5.60261e-09	6.3652e-09	3.49335e-08	0.00113114	0.0733702	0.0856416	0.0868963	0.0881893
59	-1.29834e-18	4.03695	0.099855	3.50226	189.534	0.00013992	0.000202934	5.02669e-06	11.3292	2.64037e-08	2.65859e-05	0.63475	304.619	0.0826867	0.0502628	48.0702	0.252226	3.44028e-05	0.297922	0.000719955	5.41755e-09	6.03374e-09	3.34846e-08	0.00113423	0.0721186	0.0838535	0.0850548	0.086292
60	-1.79777e-18	3.96745	0.0998573	3.44501	189.78	0.000137635	0.000196937	4.96359e-06	11.1524	2.56461e-08	2.6061e-05	0.622496	304.628	0.0810208	0.049632	48.2582	0.248189	3.35783e-05	0.291382	0.000707898	5.24242e-09	5.72588e-09	3.21327e-08	0.00113719	0.0709088	0.0821396	0.0832908	0.0844758
61	1.17493e-18	3.90024	0.0998596	3.38958	190.017	0.000135423	0.000191225	4.90268e-06	10.9824	2.49238e-08	2.55568e-05	0.61072	304.635	0.0794218	0.0490231	48.4389	0.244275	3.27928e-05	0.285129	0.000696237	5.07649e-09	5.43955e-09	3.08691e-08	0.00114002	0.0697388	0.0804955	0.0815996	0.0827355
62	1.52063e-18	3.83522	0.0998618	3.33587	190.246	0.00013328	0.00018578	4.84384e-06	10.8189	2.42345e-08	2.5072e-05	0.599394	304.643	0.0778858	0.0484348	48.6129	0.240479	3.20435e-05	0.279144	0.000684952	4.91911e-09	5.17284e-09	2.9686e-08	0.00114274	0.0686066	0.0789171	0.079977	0.0810667
63	-3.74705e-19	3.77227	0.099864	3.28383	190.466	0.000131203	0.000180585	4.78696e-06	10.6615	2.35763e-08	2.46057e-05	0.588492	304.65	0.0764092	0.0478661	48.7803	0.236797	3.13281e-05	0.27341	0.000674027	4.76969e-09	4.92406e-09	2.85767e-08	0.00114534	0.0675106	0.0774005	0.0784187	0.079465
64	-1.51094e-19	3.71131	0.099866	3.23337	190.679	0.000129189	0.000175625	4.73194e-06	10.5099	2.29472e-08	2.41567e-05	0.577991	304.657	0.0749886	0.0473161	48.9415	0.233224	3.06444e-05	0.267912	0.000663444	4.6277e-09	4.69171e-09	2.75347e-08	0.00114784	0.0664489	0.0759421	0.0769211	0.0779265
65	-5.91915e-20	3.65225	0.099868	3.18442	190.884	0.000127235	0.000170885	4.67871e-06	10.3638	2.23456e-08	2.37241e-05	0.567869	304.664	0.073621	0.0467839	49.0968	0.229755	2.99903e-05	0.262636	0.000653188	4.49263e-09	4.47442e-09	2.65548e-08	0.00115024	0.0654201	0.0745388	0.0754807	0.0764476
