Time	[IkBalpha]	[NFkB]	[IkBalpha_NFkB]	[IkBbeta]	[IkBbeta_NFkB]	[IkBeps]	[IkBeps_NFkB]	[IKK_IkBalpha]	[IKK_IkBalpha_NFkB]	[IKK]	[IKK_IkBbeta]	[IKK_IkBbeta_NFkB]	[IKK_IkBeps]	[IKK_IkBeps_NFkB]	[NFkB_nuc]	[IkBalpha_nuc]	[IkBalpha_nuc_NFkB_nuc]	[IkBbeta_nuc]	[IkBbeta_nuc_NFkB_nuc]	[IkBeps_nuc]	[IkBalpha_transcript]	[IkBbeta_transcript]	[IkBeps_transcript]	[IkBeps_nuc_NFkB_nuc]	Values[fr_after_trigger]
91	0.436166	0.00016897	0.0996168	0	0	0	0	-1.81174e-24	-7.98037e-25	-9.49796e-25	0	0	0	0	0.000112105	0.281374	0.00110212	0	0	0	0.0253144	0	0	0	0.5
92	0.435696	0.000169099	0.0996173	0	0	0	0	-1.80743e-24	-7.96877e-25	-9.48434e-25	0	0	0	0	0.000110792	0.28491	0.00110283	0	0	0	0.0249844	0	0	0	0.5
93	0.4352	0.000169235	0.0996176	0	0	0	0	-1.80307e-24	-7.95742e-25	-9.47102e-25	0	0	0	0	0.000109535	0.288394	0.0011036	0	0	0	0.0246599	0	0	0	0.5
94	0.434681	0.000169378	0.0996179	0	0	0	0	-1.79867e-24	-7.94631e-25	-9.458e-25	0	0	0	0	0.000108332	0.291827	0.00110441	0	0	0	0.0243408	0	0	0	0.5
95	0.434138	0.000169527	0.099618	0	0	0	0	-1.79423e-24	-7.93543e-25	-9.44525e-25	0	0	0	0	0.00010718	0.295208	0.00110528	0	0	0	0.024027	0	0	0	0.5
96	0.433575	0.000169682	0.0996181	0	0	0	0	-1.78974e-24	-7.92477e-25	-9.43275e-25	0	0	0	0	0.000106077	0.298538	0.00110619	0	0	0	0.0237185	0	0	0	0.5
97	0.432991	0.000169843	0.099618	0	0	0	0	-1.78523e-24	-7.91432e-25	-9.4205e-25	0	0	0	0	0.000105019	0.301818	0.00110714	0	0	0	0.0234151	0	0	0	0.5
98	0.432389	0.000170009	0.0996179	0	0	0	0	-1.78068e-24	-7.90406e-25	-9.40848e-25	0	0	0	0	0.000104004	0.305047	0.00110813	0	0	0	0.0231167	0	0	0	0.5
99	0.431768	0.000170181	0.0996176	0	0	0	0	-1.7761e-24	-7.89398e-25	-9.39667e-25	0	0	0	0	0.000103031	0.308226	0.00110916	0	0	0	0.0228234	0	0	0	0.5
100	0.431131	0.000170357	0.0996173	0	0	0	0	-1.77149e-24	-7.88407e-25	-9.38507e-25	0	0	0	0	0.000102098	0.311355	0.00111023	0	0	0	0.0225349	0	0	0	0.5
