Time	[Ste5]	[Ste11]	[Ste5Ste11]	[Gbg]	[Ste5Ste11Gbg]	[Fus3]	[Ste5Ste11GbgFus3]	[Ste5Ste11GbgFus3P]	[Fus3PP]	[Ste5Ste11GbgP]	[Ste11Ubi]	[p]	[Kss1]	[Ste5Ste11GbgKss1]	[Ste5Ste11GbgKss1P]	[Kss1PP]	[Ste11P]	[Ste12Kss1]	[Ste12]	[Ste12P]	[s]	[PREP]	[Ste12TeSte5Kss1]	[Ste12TeSte5]	[Ste12TeSte5P]	[FREP]
79	30.9344	0.937363	0.290374	52.6917	-2.21088e-21	211.672	2.65094e-16	0.293181	5.03499	0.00132634	0.235679	0	9.82101	1.82956e-16	0.0138006	61.2161	9.1805	33.6436	0.342994	1.98338	0	2.03058	1.56184	0.157056	9.60291	9.59107
80	30.9218	0.936527	0.289978	52.7047	8.4968e-20	211.89	-1.35829e-15	0.281009	4.82891	0.00126996	0.225598	0	9.70205	1.29595e-15	0.0130495	61.272	9.18174	33.6851	0.347619	1.93731	0	1.98376	1.5428	0.157091	9.61417	9.60272
81	30.9098	0.935734	0.289601	52.7171	-8.23119e-20	212.1	-1.17245e-15	0.269341	4.63111	0.00121603	0.215952	0	9.58721	9.47003e-16	0.0123432	61.3244	9.18291	33.7258	0.3522	1.892	0	1.93769	1.52444	0.157128	9.62506	9.61398
82	30.8982	0.934981	0.289242	52.729	-2.75074e-19	212.301	2.27965e-16	0.258157	4.44127	0.00116442	0.206722	0	9.47638	-1.78181e-16	0.0116788	61.3736	9.18402	33.7658	0.356733	1.84746	0	1.89238	1.50675	0.157168	9.63559	9.62488
83	30.8872	0.934265	0.288901	52.7404	-1.56472e-19	212.493	1.34838e-15	0.247436	4.25907	0.00111505	0.19789	0	9.36945	-8.93444e-16	0.0110537	61.4196	9.18507	33.8051	0.361216	1.80369	0	1.84784	1.4897	0.15721	9.64576	9.63541
84	30.8766	0.933586	0.288576	52.7513	3.8863e-22	212.679	4.7436e-16	0.237159	4.08423	0.0010678	0.189439	0	9.26632	-2.57248e-16	0.0104653	61.4626	9.18608	33.8437	0.365645	1.7607	0	1.80408	1.47328	0.157254	9.65558	9.64558
85	30.8665	0.932941	0.288267	52.7618	2.39642e-22	212.856	1.74232e-16	0.227308	3.91645	0.00102259	0.181353	0	9.16687	-9.44634e-17	0.00991138	61.5028	9.18703	33.8815	0.370016	1.71851	0	1.7611	1.45746	0.1573	9.66506	9.6554
86	30.8567	0.932328	0.287973	52.7718	1.4632e-22	213.027	6.59039e-17	0.217865	3.75546	0.000979316	0.173615	0	9.07102	-3.57114e-17	0.00938968	61.5403	9.18794	33.9186	0.374327	1.67712	0	1.71891	1.44224	0.157347	9.6742	9.66489
87	30.8474	0.931746	0.287693	52.7814	8.83822e-23	213.19	2.49073e-17	0.208813	3.601	0.000937903	0.166211	0	8.97864	-1.34891e-17	0.00889816	61.5751	9.1888	33.9549	0.378575	1.63654	0	1.67752	1.42758	0.157396	9.68302	9.67403
88	30.8385	0.931194	0.287427	52.7905	5.42556e-23	213.347	9.39382e-18	0.200137	3.45281	0.000898266	0.159126	0	8.88964	-5.08159e-18	0.00843494	61.6075	9.18962	33.9905	0.382757	1.59676	0	1.63694	1.41348	0.157446	9.69152	9.68286
89	30.83	0.930668	0.287173	52.7993	3.15941e-23	213.498	1.87485e-18	0.19182	3.31063	0.000860327	0.152347	0	8.80391	-1.00598e-18	0.00799824	61.6375	9.1904	34.0253	0.386872	1.5578	0	1.59717	1.3999	0.157498	9.69972	9.69137
