Time	[ATP]	[ADP]	[Patched]	[Hedgehog target gene]	[Sap18]	[Hedgehog]	[Complex_br_(Patched/Hedgehog)]	[Complex_br_(Costal2/Fused/_br_Smoothened){"Receiving cell"}]	[Complex_br_(Costal2/Smoothened/_br_Fused)]	[Complex_br_(Costal2/Fused/_br_Smoothened){"lipid raft"}]	[CBP]	[Microtubule]	[Cubitus_space_interruptus]	[Complex_br_(Cubitus_space_interruptus_space_repressor/Su(fu))]	[Complex_br_(Sap18/Su(fu)/_br_Cubitus_space_interruptus_space_repressor)]	[smoothened]	[complex]	[MIcrotubule]	[sag]	[Complex_br_(CBP/Cubitus)]	[Complex_br_(Costal2/Fused/../microtubule)]	[Complex_br_(Su(fu)/Fused/../_br_Smoothened)]	[Complex_br_(Su(fu)/Cubitus)]
83	1.30558	0.694419	1.78632	0.929444	0.983605	1.78632	3.21368	0.214854	0.694419	1.57182	1.09143e-09	2.6179	0.329777	0.983605	2.58695	0.0239044	0.0239044	0	0.5	2.30564e-10	0.358197	0.136807	0.151315
84	1.30557	0.694435	1.78632	0.929444	0.983605	1.78632	3.21368	0.214866	0.694435	1.57191	8.31484e-10	2.61806	0.32986	0.983605	2.58695	0.0236221	0.0236221	0	0.5	1.75702e-10	0.35832	0.136846	0.151352
85	1.30555	0.694451	1.78632	0.929444	0.983605	1.78632	3.21368	0.214878	0.694451	1.572	6.33485e-10	2.61821	0.329942	0.983605	2.58695	0.0233463	0.0233463	0	0.5	1.33901e-10	0.35844	0.136884	0.151388
86	1.30553	0.694466	1.78632	0.929444	0.983605	1.78632	3.21368	0.214891	0.694466	1.57209	4.82709e-10	2.61837	0.330022	0.983605	2.58695	0.0230769	0.0230769	0	0.5	1.02059e-10	0.358557	0.136921	0.151423
87	1.30552	0.694481	1.78632	0.929444	0.983605	1.78632	3.21368	0.214902	0.694481	1.57217	3.67792e-10	2.61851	0.3301	0.983605	2.58695	0.0228137	0.0228137	0	0.5	7.77829e-11	0.358672	0.136958	0.151457
88	1.3055	0.694496	1.78632	0.929444	0.983605	1.78632	3.21368	0.214914	0.694496	1.57226	2.80186e-10	2.61866	0.330176	0.983605	2.58695	0.0225564	0.0225564	0	0.5	5.9271e-11	0.358784	0.136993	0.151491
89	1.30549	0.69451	1.78632	0.929444	0.983605	1.78632	3.21368	0.214925	0.69451	1.57234	2.13417e-10	2.6188	0.33025	0.983605	2.58695	0.0223048	0.0223048	0	0.5	4.51581e-11	0.358893	0.137028	0.151523
90	1.30548	0.694524	1.78632	0.929444	0.983605	1.78632	3.21368	0.214936	0.694524	1.57242	1.62549e-10	2.61894	0.330323	0.983605	2.58695	0.0220588	0.0220588	0	0.5	3.44033e-11	0.359	0.137062	0.151556
91	1.30546	0.694538	1.78632	0.929444	0.983605	1.78632	3.21368	0.214947	0.694538	1.5725	1.23813e-10	2.61908	0.330394	0.983605	2.58695	0.0218182	0.0218182	0	0.5	2.62112e-11	0.359105	0.137095	0.151587
92	1.30545	0.694552	1.78632	0.929444	0.983605	1.78632	3.21368	0.214957	0.694552	1.57257	9.43933e-11	2.61921	0.330464	0.983605	2.58695	0.0215827	0.0215827	0	0.5	1.99878e-11	0.359208	0.137128	0.151618
93	1.30544	0.694565	1.78632	0.929444	0.983605	1.78632	3.21368	0.214967	0.694565	1.57265	7.19809e-11	2.61934	0.330531	0.983605	2.58695	0.0213523	0.0213523	0	0.5	1.52456e-11	0.359309	0.13716	0.151648
94	1.30542	0.694578	1.78632	0.929444	0.983605	1.78632	3.21368	0.214977	0.694578	1.57272	5.49505e-11	2.61947	0.330598	0.983605	2.58695	0.0211268	0.0211268	0	0.5	1.16412e-11	0.359407	0.137191	0.151677
95	1.30541	0.69459	1.78632	0.929444	0.983605	1.78632	3.21368	0.214987	0.69459	1.57279	4.19379e-11	2.61959	0.330663	0.983605	2.58695	0.0209059	0.0209059	0	0.5	8.88642e-12	0.359504	0.137222	0.151706
96	1.3054	0.694602	1.78632	0.929444	0.983605	1.78632	3.21368	0.214997	0.694602	1.57286	3.19875e-11	2.61971	0.330726	0.983605	2.58695	0.0206897	0.0206897	0	0.5	6.7794e-12	0.359598	0.137252	0.151734
97	1.30539	0.694615	1.78632	0.929444	0.983605	1.78632	3.21368	0.215006	0.694615	1.57293	2.43895e-11	2.61983	0.330789	0.983605	2.58695	0.0204778	0.0204778	0	0.5	5.1701e-12	0.359691	0.137281	0.151761
